gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gm8579	8.118434698524084	5.0407867183642825	1.8742190723251377	-2.689539762345248	0.007155062245209741	0.018181679619492613
Gm8597	4.940552827908388	0.9521226315504157	1.8210530753648786	-0.5228417800835606	0.6010843623216824	0.7472545156828903
Gm8615	3.5419286028235506	-0.23694545056920605	1.8225342948792425	0.13000877472371822	0.8965594843892878	0.9462820606316713
Gm8624	9.392696413229425	0.5345206936180206	1.1740458615391118	-0.45528093163012584	0.6489071426900821	0.7842232946645424
Gm867	3.782697537032719	-0.7852631431844701	1.7530979185935667	0.447928854889322	0.6542045429740275	0.788286280179229
Gm8707	24.616929254317157	0.5972835542312832	0.7108009847646978	-0.8402964641769691	0.400742183424666	0.5660881522784358
Gm8730	4323.085902959574	-0.410742604531096	0.07186332049917987	5.7156084867492805	1.093121548459021e-8	6.234464980188448e-8
Gm8750	193.9067512844245	0.38921537663975675	0.2602777243307361	-1.4953848918134038	0.13481402120538405	0.24004950025474087
Gm8752	14.291488096910772	-0.09562838818209665	1.0748035405917986	0.08897290022829904	0.9291034471700171	0.9616210563867775
Gm8756	34.17870687819591	-0.4272976630446132	0.5997528372155038	0.7124562595292504	0.47618228804725127	0.6402182144678273
Gm8765	4.211026353080518	1.3285594663377664	1.7337294135256607	-0.7663015093203313	0.44349692045857436	0.6089583094143879
Gm8773	9.054677163939843	-2.464346305837816	1.2558375796813561	1.962312918254202	0.04972606412274451	0.10168202057145789
Gm8797	1201.7581120551038	-0.4195482638446939	0.11429597540832805	3.6707177338995263	2.4187033039656296e-4	7.969440881113576e-4
Gm8806	14.269837902376246	-1.9045190222009953	0.9905538428225904	1.9226809688346214	0.05452012834435583	0.11048707667781371
Gm8822	25.862540988448764	-0.1028541506423105	0.7113156539916069	0.14459705767072029	0.8850290204578259	0.9404874825855708
Gm8825	4.020103080732005	-0.5586102812833396	1.7219439288554177	0.32440677766705783	0.7456300891414358	0.8536211880863402
Gm884	6.357519972313439	-0.37255169995700577	1.3751989261447506	0.27090749772574485	0.7864621782453641	0.8803024675850953
Gm8850	6.590793232865516	-0.047815607377262315	1.336735981805354	0.035770419909460394	0.9714654194589298	0.9858790068320197
Gm8857	20.83666090742148	-1.4589868626760647	0.7994751334029897	1.8249308849242674	0.06801145981761451	0.1340106150372604
Gm8860	4.659073543211359	1.5332847694771268	1.6408910457731767	-0.934422046745129	0.35008622964360014	0.5130946243774516
Gm8864	4.753341244101108	-2.052940173910346	1.6772779222384602	1.223971380467785	0.2209630240913389	0.35849930913795297
Gm8871	28.1820857709664	-1.6933054090583017	2.516564500539648	0.6728639018372833	0.50103387936474	0.6637326169544829
Gm8879	167.4962814162402	-0.31935577988450664	0.2756723994209221	1.1584612045142928	0.2466758748151607	0.3904229864832929
Gm8885	37.75284663812646	-0.44714762727383794	0.5811235363621521	0.7694536519257047	0.4416240487951631	0.6071662505061144
Gm8890	143.2993441151018	-0.44868059253686854	0.3020717522602865	1.485344422904706	0.13745260989812397	0.2436753102007111
Gm8898	420.2376774659572	-1.0760364735287868	0.1932152469006504	5.569107463253537	2.56047536956332e-8	1.405120899054734e-7
Gm8902	11.258551936977268	0.6908588220427072	1.0426149591139737	-0.6626212447880155	0.507573160337524	0.6691744882353198
Gm8906	12.291029379245813	-1.2290364265814833	1.2868602194563246	0.955065987742421	0.3395443277498643	0.5015875848480167
Gm8909	12.029389424773372	-0.673657261170489	1.0465847008713538	0.643671993876485	0.519788154371954	0.6802773834704671
